City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
343,Matamoros,MX,25.53,-103.25,78.8,19,5,4.9,clear sky
344,Evensk,RU,61.95,159.23,13.08,90,100,6.04,overcast clouds
345,Tahoua,NE,14.89,5.27,80.6,24,0,4.7,clear sky
346,Hovd,MN,48.01,91.64,28.2,87,0,0.16,clear sky
347,Riosucio,CO,5.42,-75.7,73.4,73,40,5.82,scattered clouds
348,Kawalu,ID,-7.38,108.21,73.85,91,100,1.05,moderate rain
349,Sukhobuzimskoye,RU,56.5,93.27,26.6,92,40,4.59,light shower snow
350,Deputatskiy,RU,69.3,139.9,-9.56,93,73,1.45,broken clouds
351,Aberystwyth,GB,52.42,-4.08,44.01,81,1,1.99,clear sky
352,Naples,IT,40.83,14.25,59.0,76,0,4.7,clear sky
353,Flinders,AU,-34.58,150.86,64.0,72,90,9.17,overcast clouds
354,Khani,GE,41.96,42.96,55.4,87,90,9.17,overcast clouds
355,Valle De Allende,MX,26.93,-105.4,71.94,21,0,12.03,clear sky
356,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,78.26,84,44,10.42,light rain
357,Leningradskiy,RU,69.38,178.42,28.58,98,100,10.6,overcast clouds
358,Bathsheba,BB,13.22,-59.52,82.4,78,40,12.75,scattered clouds
359,Ixtapa,MX,20.7,-105.2,82.99,69,5,9.17,clear sky
360,Helong,CN,42.54,129.0,40.21,77,0,5.41,clear sky
361,Yaguajay,CU,22.33,-79.24,75.97,85,100,12.26,light rain
362,Ilek,RU,51.53,53.38,42.3,82,90,5.84,overcast clouds
363,Mazamari,PE,-11.33,-74.53,79.5,56,63,2.59,broken clouds
