City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
497,Luanda,AO,77.54,broken clouds,-8.84,13.23,EPIC SANA Luanda
507,Wawa,NG,77.38,scattered clouds,9.9,4.42,
508,Karaton,ID,78.01,mist,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
509,Maceio,BR,77.0,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
510,Toma,BF,81.91,clear sky,12.77,-2.88,Auberge de l'amitié
515,San-Pedro,CI,77.32,light rain,4.75,-6.64,Hotel Maria
526,Samana,DO,78.8,broken clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
527,Coello,CO,80.42,overcast clouds,4.29,-74.9,Casa
528,Phangnga,TH,81.0,few clouds,8.45,98.53,Rattanapong Hotel
532,Hambantota,LK,78.39,broken clouds,6.12,81.12,Bungalow 63
538,La Gomera,GT,82.4,broken clouds,14.08,-91.05,HOTEL
540,Araouane,ML,85.41,broken clouds,18.9,-3.53,
541,Koumac,NC,81.5,clear sky,-20.57,164.28,Le Monitel
544,Candido Mendes,BR,78.08,overcast clouds,-1.45,-45.72,Quebrada Do Mlk PJL
550,Itarema,BR,80.04,few clouds,-2.92,-39.92,Windvillage
552,Lakatoro,VU,82.4,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
563,Sena Madureira,BR,85.82,very heavy rain,-9.07,-68.66,Hotel Suzani
570,Augusto Correa,BR,79.47,light rain,-1.02,-46.63,Fazenda Bacuri
580,Matara,LK,76.46,overcast clouds,5.95,80.54,Amaloh Boutique Resort
583,Kieta,PG,81.19,light rain,-6.22,155.63,
584,Kyabe,TD,78.24,scattered clouds,9.45,18.94,
587,Kavaratti,IN,82.4,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
588,Port Keats,AU,87.98,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
589,Cabo Rojo,PR,81.0,broken clouds,18.09,-67.15,Hotel Perichi's
591,Adra,ES,75.2,light rain,36.75,-3.02,Camping Adra
594,Cockburn Town,TC,77.0,overcast clouds,21.46,-71.14,Osprey Beach Hotel
596,Kalmunai,LK,78.85,broken clouds,7.42,81.82,VS Villa
602,Vanimo,PG,81.63,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
607,Bac Lieu,VN,76.96,clear sky,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
608,Mogadishu,SO,79.45,overcast clouds,2.04,45.34,Hotel Juba
610,Angoche,MZ,76.71,clear sky,-16.23,39.91,Guest House HESADA
615,Salinopolis,BR,81.07,light rain,-0.61,-47.36,Salinas Park Resort Maçarico AP101
617,Brownsville,US,82.4,clear sky,25.9,-97.5,Hotel Alameda Express
623,Ciudad Bolivar,VE,83.3,scattered clouds,8.12,-63.55,Hotel Edi
625,Bambanglipuro,ID,78.44,broken clouds,-7.95,110.28,Puri Brata
630,Lake Charles,US,77.0,clear sky,30.21,-93.2,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
633,Palimbang,PH,79.59,moderate rain,6.21,124.19,Felmar Beach resort
636,Buckeye,US,87.8,clear sky,33.37,-112.58,Buckeye Motor Hotel
637,Yeppoon,AU,78.8,broken clouds,-23.13,150.73,Villa Mar Colina
638,Damara,CF,75.2,few clouds,4.96,18.7,
641,Guadalupe Victoria,MX,90.0,broken clouds,32.29,-115.11,CAPITAL O Hotel Dial
642,La Macarena,CO,76.57,overcast clouds,2.18,-73.78,AGENCIA DE VIAJES Y TURISMO CRISTALES MACARENA
645,Mataram,ID,77.0,broken clouds,-8.58,116.12,Hotel Santika Mataram
646,Luganville,VU,82.4,broken clouds,-15.53,167.17,The Espiritu Hotel
647,Pozo Colorado,PY,81.25,clear sky,-23.49,-58.8,Hospedaje la Amistad
651,Floresta,BR,85.41,broken clouds,-8.6,-38.57,Pousada Maria Bonita
658,Sabang,ID,81.23,light rain,5.89,95.32,Hotel Citra
661,Sola,VU,79.81,overcast clouds,-13.88,167.55,Ulkel Guest House
664,Mareeba,AU,86.0,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
668,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
671,Letlhakeng,BW,75.4,clear sky,-24.09,25.03,Tokey's Lodge
677,Sao Miguel Do Araguaia,BR,83.61,overcast clouds,-13.28,-50.16,Hotel Executivo Palace
679,Cayenne,GF,77.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
686,Kendari,ID,77.95,overcast clouds,-3.94,122.5,Hotel Wixel
